article,name,price,category_id,description,image_url,is_active
30008,Кулон Сосна из эпоксидной смолы,2000.00,4,Кулон с сосной внутри,,true
30009,Кулон Лети лепесток из эпоксидной смолы,1000.00,4,Кулон с лепестками цветов,,true
30010,Кулон Мраморный из эпоксидной смолы,2000.00,4,Кулон с мраморным эффектом,,true
30011,Кулон Соцветие из эпоксидной смолы,2000.00,4,Кулон с соцветием,,true
30012,Кулон Одуванчик из эпоксидной смолы,2000.00,4,Кулон с одуванчиком,,true
30013,Кулон Капля цветка из эпоксидной смолы,750.00,4,Кулон в форме капли с цветком,,true
30014,Кулон Лолипоп из эпоксидной смолы,5000.00,4,Кулон в стиле леденца,,true
30015,Кулон Лунный свет из эпоксидной смолы,800.00,4,Кулон с лунным сиянием,,true
30016,Кулон Снежный след из эпоксидной смолы,800.00,4,Кулон со снежным узором,,true
30017,Кулон Золотая половинка из эпоксидной смолы,4000.00,4,Парный кулон с золотом,,true
30018,Кулон Натяжение из эпоксидной смолы,2000.00,4,Кулон с эффектом натяжения,,true
30019,Кулон Песчаная дюна из эпоксидной смолы,3000.00,4,Кулон с песочным узором,,true
30020,Кулон Живое сердце из эпоксидной смолы,2000.00,4,Кулон в форме сердца,,true
30021,Кулон Шишковидность из эпоксидной смолы,3000.00,4,Кулон с шишкой,,true
30022,Кулон Сапфировый из эпоксидной смолы,2000.00,4,Кулон сапфирового цвета,,true
30023,Кулон Линия из эпоксидной смолы,1000.00,4,Кулон с линиями,,true
30024,Королевский пурпур из эпоксидной смолы,3000.00,4,Кулон пурпурного цвета,,true
30025,Тень из эпоксидной смолы,3000.00,4,Кулон с теневым эффектом,,true
30026,Всячина из эпоксидной смолы,500.00,4,Разнообразный кулон,,true
30027,Собака-недоумевака в эпоксидной смоле,1000.00,4,Кулон с забавной собакой,,true
30028,Кулон Аквариум из эпоксидной смолы,1000.00,4,Кулон с эффектом аквариума,,true
30029,Кулон Легкий бриз из эпоксидной смолы,2000.00,4,Воздушный кулон,,true
30030,Ровный овал из эпоксидной смолы,2000.00,4,Овальный кулон,,true
30031,Кулон Имитация,4000.00,4,Кулон с имитацией,,true
30032,Невероятно красивый шар из эпоксидной смолы,5000.00,4,Шарообразный кулон,,true
31001,Молочные коты N1,2000.00,4,Фигурка молочного кота N1,"https://sun9-34.vkuserphoto.ru/s/v1/ig2/mACLVNPjaY51e9YKveHvGKWohUOet8plZDdXRnOOWt5eFR5Q82TgkimVDpNXNljzX1akdHlMsbXZ6pYRHJtL-W11.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu&u=IYVov8NkgM4nlJSKfB54EnTaj7S5WE2KzEcahKo0Ax0&cs=540x0",true
31002,Молочные коты N2,2000.00,4,Фигурка молочного кота N2,"https://sun9-78.vkuserphoto.ru/s/v1/ig2/FLBZdh6JD3G6hvzHiSZ6dhakCOCgWcTJHp6MmewBH8W6uJor75h2Dfk_0sSB5DPxvpmzdXWHNt4vITFbWjCfcelX.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu&u=aOFc4RDB3OTI4CGp3qUNwG55rrhT1o4cTesdgr-S9_E&cs=540x0",true
31003,Молочные коты N3,2000.00,4,Фигурка молочного кота N3,"https://sun9-33.vkuserphoto.ru/s/v1/ig2/3WA4yS8NcfBpk6GIgHwlkM306fknhWcHs4ry72Vo3DL45PO6zqCwh2aeF_bzeW22m68QEjIyA0WcOKEZ473wMggl.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu&u=6QiI37u8zLCjR3UbVdHqoezjtfmgJe3OXzS0J93k4Lg&cs=540x0",true
31004,Молочные коты N4,2000.00,4,Фигурка молочного кота N4,"https://sun9-7.vkuserphoto.ru/s/v1/ig2/aO8o1Rzmse0sqDmni3xqDox_rD8rOBXSvyHnf_xBKCfYhtICDcLTYch7UlmMRXNKVSQYkq59etThdlnPVNEdh5Vv.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu&u=iqcmjSYnmVoOzNfKEvff8yEziiAxM7aEC4BDkDML5P4&cs=540x0",true
31005,Молочные коты N5,2000.00,4,Фигурка молочного кота N5,"https://sun9-40.vkuserphoto.ru/s/v1/ig2/9svxliSmqr1XMzjpNq9ezZYABYJQ9BxlTP4PiW3EkMJq6ujhjCODrc8oYE9bkFFXPbPvb2QdKRtRiT0XnP_wbUKl.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu&u=pGpLAbRjn6mtFLn318w0ZeDeNYG3NgZmWtJdUTeiNZA&cs=540x0",true
31006,Кастомный котик,4000.00,4,Кастомная фигурка котика,"https://sun9-83.vkuserphoto.ru/s/v1/ig2/yZcQpw3mpGhEZwJv-uXFyszSWs9OecEDpWyT1OdpfltFpMxZMBYj_VYGwd3lCkoYbt6VkUmQTvHvVMKgIBjR2o0w.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1081,1280x1281,1440x1441,1664x1665&from=bu&u=4khzcyyx-ZmPbA3Qgz61z5HH2Rkw9KAMIZXW_6jmgAk&cs=540x0",true
31007,Бронзовые коты N6,2000.00,4,Фигурка бронзового кота N6,"https://sun9-49.vkuserphoto.ru/s/v1/ig2/pNKWDQfzjDidKrFfKtG3F-pphfjv-9WFjSUViYh2fVvsYOyeOKN4Do2_hPH6ORbjdfBtZFj8BGUMykY43iALU-Rv.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu&u=P3FWgwQVkB5Bi--y3Cp-J36sptvajnhhLOvBMbOPXKc&cs=540x0",true
31008,Бронзовые коты N2,2000.00,4,Фигурка бронзового кота N2,"https://sun9-8.vkuserphoto.ru/s/v1/ig2/73iAdM8BX3Vf3vcU2y-hn8NZPB5FeVEuPyDHsLOOxdT31OJHkMrrQpdOMKu9IlpAr1aFdEtUdbEQ09Pt5Jg0FKOG.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu&u=n14HTY2kF9WN1DNBZZxNIczRYdx5X2Jz4GkC6ZNVzDU&cs=540x0",true
31009,Серые коты N1,2000.00,4,Фигурка серого кота N1,"https://sun9-46.vkuserphoto.ru/s/v1/ig2/UqdjlSskg-FKQU3B3_ar5Fd9422LGDA_htF9-gaKHGsNDRhnrQQRGhePlk1mUzH2PLcvCx36pXVUm2J87-t-VTtM.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu&u=-Dev0F8eQQLEXfvUKE5MyV2K60W9gauNqpAULL_2_gE&cs=540x0",true
